Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0014995,-0.0013032,0.040683,0,0,0,231.33,12.98,-2.8805E-07,6.8452E-05,12.992,-1.3867E-05,12.993,0,0,0,0,0,0,../meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,../meshes/base_link.STL,,步兵云台26式B型1.0-2;底盘-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_thigh_link,-0.101619284323265,0.0037974585597505,0.00128508276358441,0,0,0,0.295216930314362,0.000129835273697855,7.9353679548194E-06,2.52232630784962E-06,0.00159656106729046,-1.9716922425206E-06,0.00170986748305259,0,0,0,0,0,0,../meshes/right_thigh_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,../meshes/right_thigh_link.STL,,机加件-大腿工件镜向-1,right_thigh_link,axis_right_thigh_link,right_thigh_link,revolute,0,-0.1659,0.11588,1.5708,0,0,base_link,0,0,1,100,100,-3.14,3.14,,,,,,,,
right_leg_link,0.00151762255737994,-0.102069878505427,-0.00035753127670124,0,0,0,0.275645352077112,0.00268587161058937,-6.48069566781321E-05,-1.49265407838554E-07,7.54275103357023E-05,-6.24113011292532E-06,0.00275070438483322,0,0,0,0,0,0,../meshes/right_leg_link.STL,1,1,1,1,0,0,0,0,0,0,../meshes/right_leg_link.STL,,小腿-碳纤维镜向-1,right_leg_link,axis_right_leg_link,right_leg_link,revolute,-0.21,0,0.018,0,0,0,right_thigh_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
right_wheel_link,-6.34733377469221E-07,-0.000188846929432621,0.0121370820685591,0,0,0,0.335173765246606,0.000339349281211278,-1.01352497523973E-06,1.83616194915644E-09,0.000338491056051536,-3.13382316500292E-07,0.000662579503570123,0,0,0,0,0,0,../meshes/right_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,../meshes/right_wheel_link.STL,,新轮毂-2,right_wheel_link,axis_right_wheel_link,right_wheel_link,revolute,0,-0.25,0.01875,0,0,0,right_leg_link,0,0,1,100,100,-3.14,3.14,,,,,,,,
left_thigh_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../meshes/left_thigh_link.STL,1,1,1,1,0,0,0,0,0,0,../meshes/left_thigh_link.STL,,机加件-大腿工件-1,left_thigh_link,axis_left_thigh_link,left_thigh_link,revolute,0,0.1659,0.11588,-1.5708,0,0,base_link,0,0,1,100,100,-3.14,3.14,,,,,,,,
left_leg_link,0.00151762255753111,0.102069878505437,-0.000357531276701017,0,0,0,0.275645352077111,0.00268587161058934,6.48069566781304E-05,-1.49265407836206E-07,7.54275103357019E-05,6.241130112922E-06,0.00275070438483319,0,0,0,0,0,0,../meshes/left_leg_link.STL,1,1,1,1,0,0,0,0,0,0,../meshes/left_leg_link.STL,,小腿-碳纤维-1,left_leg_link,axis_left_leg_link,left_leg_link,revolute,-0.21,0,0.018,0,0,0,left_thigh_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
left_wheel_link,6.34733528459552E-07,0.000188846929443265,0.0121370820685582,0,0,0,0.335173765246607,0.000339349281211278,-1.01352497523976E-06,-1.83616194512382E-09,0.000338491056051537,3.13382316499992E-07,0.000662579503570124,0,0,0,0,0,0,../meshes/left_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,../meshes/left_wheel_link.STL,,新轮毂-1,left_wheel_link,axis_left_wheel_link,left_wheel_link,revolute,0,0.25,0.01875,0,0,0,left_leg_link,0,0,1,100,100,-3.14,3.14,,,,,,,,
